Date,Close,High,Low,Open,Volume,Return
2016-07-05,11361.599609375,11370.4501953125,11256.7998046875,11337.0498046875,8213000,0.0036882115435017404
2016-07-07,11527.0498046875,11592.900390625,11370.9501953125,11386.2001953125,11352000,0.014562227239197867
2016-07-08,11569.7001953125,11639.650390625,11503.349609375,11623.7001953125,14628000,0.003700026576414661
2016-07-11,11745.7001953125,11762.7001953125,11646.7998046875,11679.7001953125,11911000,0.015212148718538598
2016-07-12,11680.650390625,11754.900390625,11631.7998046875,11754.7001953125,8066000,-0.0055381802366674115
2016-07-13,11639.7998046875,11741.900390625,11612.5498046875,11711.599609375,9202000,-0.0034972869293551367
2016-07-14,11590.650390625,11626.75,11535.900390625,11626.75,8456000,-0.004222530875720665
2016-07-15,11607.7001953125,11673.849609375,11572.75,11609.650390625,10256000,0.0014709963731880382
2016-07-18,11556.849609375,11651.7001953125,11542.0,11634.4501953125,7717000,-0.0043807632073435965
2016-07-19,11647.0,11676.75,11561.7001953125,11574.400390625,7021000,0.007800602557973102
2016-07-20,11925.349609375,11937.7998046875,11706.0,11706.0,15756000,0.023898824536361385
2016-07-21,11820.650390625,12011.7998046875,11788.599609375,11982.2001953125,11679000,-0.00877955130704866
2016-07-22,11815.75,11844.7998046875,11774.5498046875,11844.7998046875,7462000,-0.0004145618441508958
2016-07-25,11869.599609375,11876.5,11785.75,11815.150390625,9089000,0.0045574431902333234
2016-07-26,11691.150390625,11902.5498046875,11663.349609375,11888.900390625,10856000,-0.015034139703335447
2016-07-27,11569.900390625,11593.2998046875,11452.5498046875,11524.099609375,13971000,-0.010371092317589925
2016-07-28,11615.75,11673.75,11570.9501953125,11609.2001953125,12447000,0.00396283527316732
2016-07-29,11697.25,11764.650390625,11611.7998046875,11631.4501953125,9816000,0.007016335578847732
2016-08-01,11685.400390625,11785.5,11592.7001953125,11772.349609375,8951000,-0.0010130252302891218
2016-08-02,11567.7998046875,11800.7998046875,11552.900390625,11740.349609375,7903000,-0.010063890154063393
2016-08-03,11553.2001953125,11652.099609375,11478.0498046875,11603.75,9261000,-0.001262090425275475
2016-08-04,11591.0,11691.75,11538.25,11593.599609375,12978000,0.0032718038334380584
2016-08-05,11678.900390625,11695.0,11617.900390625,11653.4501953125,6652000,0.007583503634285282
2016-08-08,11692.650390625,11742.25,11650.099609375,11718.4501953125,7833000,0.0011773368673506646
2016-08-09,11595.150390625,11766.25,11554.400390625,11731.150390625,13841000,-0.008338571388243565
2016-08-10,11361.900390625,11602.2998046875,11337.7001953125,11602.2998046875,9537000,-0.020116168582736904
2016-08-11,11376.900390625,11407.0,11200.7001953125,11363.7998046875,13005000,0.0013202016814350959
2016-08-12,11362.400390625,11484.0,11299.2998046875,11435.349609375,16506000,-0.0012745123453791196
2016-08-16,11420.0,11433.2001953125,11320.2998046875,11418.349609375,20425000,0.005069316992430961
2016-08-17,11496.7998046875,11511.400390625,11383.650390625,11402.75,11531000,0.0067250266801663905
2016-08-18,11565.2998046875,11583.9501953125,11501.900390625,11557.75,6719000,0.005958179768605687
2016-08-19,11587.400390625,11626.099609375,11562.0,11599.25,8884000,0.0019109393021132792
2016-08-22,11473.7998046875,11590.900390625,11444.2001953125,11590.900390625,11133000,-0.009803802587973975
2016-08-23,11409.0498046875,11474.0498046875,11361.0,11474.0498046875,9904000,-0.0056432917692661455
2016-08-24,11536.5498046875,11557.2998046875,11435.650390625,11462.599609375,17026000,0.011175339067028611
2016-08-25,11490.849609375,11657.2001953125,11463.650390625,11588.4501953125,16150000,-0.003961339922784468
2016-08-26,11395.4501953125,11534.900390625,11377.7001953125,11526.650390625,8884000,-0.00830220717401664
2016-08-29,11382.349609375,11421.099609375,11268.2998046875,11421.099609375,8413000,-0.0011496330301096203
2016-08-30,11552.75,11582.75,11435.349609375,11443.099609375,6851000,0.014970581336269273
2016-08-31,11489.150390625,11654.4501953125,11456.7001953125,11590.900390625,13241000,-0.005505148936400417
2016-09-01,11463.349609375,11512.400390625,11414.25,11486.75,5980000,-0.002245664855345053
2016-09-02,11555.150390625,11592.2998046875,11446.2001953125,11508.400390625,7231000,0.008008198683474133
2016-09-06,11612.7001953125,11634.7001953125,11556.0498046875,11617.150390625,6529000,0.004980446185641307
2016-09-07,11633.0498046875,11683.9501953125,11588.5498046875,11640.900390625,7025000,0.0017523581107530273
2016-09-08,11936.650390625,11946.5498046875,11643.400390625,11658.9501953125,11582000,0.026098107635984302
2016-09-09,11818.7998046875,12042.7001953125,11781.099609375,11958.25,11660000,-0.009873003068772035
2016-09-12,11622.599609375,11749.349609375,11592.7998046875,11688.2998046875,7479000,-0.01660068691870764
2016-09-14,11640.599609375,11706.7998046875,11600.650390625,11688.4501953125,8578000,0.0015487068818478278
2016-09-15,11715.650390625,11794.0498046875,11666.5498046875,11678.900390625,6606000,0.006447329499208676
2016-09-16,11725.5,11842.25,11672.599609375,11751.599609375,10087000,0.0008407223710671374
2016-09-19,11766.650390625,11802.349609375,11711.5,11737.099609375,7473000,0.0035094785403606554
2016-09-20,11746.400390625,11851.25,11730.900390625,11791.900390625,9631000,-0.0017209655533009238
2016-09-21,11730.9501953125,11805.650390625,11703.75,11787.349609375,6921000,-0.0013153131852061684
2016-09-22,11844.4501953125,11854.5498046875,11776.900390625,11818.5498046875,15036000,0.00967526058079704
2016-09-23,11798.650390625,11895.9501953125,11770.7001953125,11884.9501953125,10915000,-0.003866773377596333
2016-09-26,11708.7001953125,11831.75,11688.849609375,11802.7998046875,9338000,-0.007623769866422436
2016-09-27,11782.599609375,11830.849609375,11722.400390625,11729.349609375,9809000,0.006311495967083136
2016-09-28,11777.75,11867.099609375,11760.7998046875,11790.5498046875,10693000,-0.00041159078096320023
2016-09-29,11432.2001953125,11849.5498046875,11268.7001953125,11835.599609375,17374000,-0.02933920355649422
2016-09-30,11461.0,11489.0,11341.0498046875,11438.5,13966000,0.0025191830264927884
2016-10-03,11638.25,11668.349609375,11528.9501953125,11528.9501953125,6854000,0.01546549166739375
2016-10-04,11681.400390625,11748.2001953125,11645.900390625,11685.4501953125,7291000,0.0037076356518377374
2016-10-05,11615.900390625,11723.650390625,11599.150390625,11715.0,5970000,-0.0056072044283806965
2016-10-06,11494.4501953125,11689.599609375,11474.7998046875,11663.349609375,8514000,-0.010455512808160816
2016-10-07,11480.099609375,11544.7998046875,11444.599609375,11494.75,24950000,-0.0012484795439239305
2016-10-10,11547.2998046875,11577.25,11489.9501953125,11512.7001953125,6001000,0.005853624759285303
2016-10-13,11338.849609375,11557.0,11300.849609375,11536.0498046875,11978000,-0.018051856177483283
2016-10-14,11380.099609375,11394.4501953125,11320.2998046875,11384.5,7309000,0.00363793518928901
2016-10-17,11279.400390625,11404.2998046875,11261.900390625,11401.9501953125,5775000,-0.008848711540894061
2016-10-18,11469.4501953125,11490.0,11297.7998046875,11299.9501953125,7555000,0.016849282595328585
2016-10-19,11527.75,11585.849609375,11502.099609375,11504.650390625,6598000,0.005083051383869108
2016-10-20,11483.349609375,11578.849609375,11471.900390625,11570.5498046875,4317000,-0.0038516094315890204
2016-10-21,11494.5498046875,11515.2001953125,11416.400390625,11508.7001953125,5796000,0.0009753421861646849
2016-10-24,11487.599609375,11540.75,11450.9501953125,11535.0498046875,5051000,-0.0006046513722238744
2016-10-25,11585.9501953125,11611.650390625,11514.900390625,11527.150390625,7364000,0.008561456638620735
2016-10-26,11454.900390625,11598.25,11413.4501953125,11588.2001953125,8692000,-0.011311096843875657
2016-10-27,11534.5498046875,11563.849609375,11438.2998046875,11487.150390625,9102000,0.006953304816835093
2016-10-28,11571.849609375,11633.75,11535.0,11545.5,9835000,0.003233746034226881
2016-11-01,11530.150390625,11705.2001953125,11510.2998046875,11666.400390625,8668000,-0.0036035050711528127
2016-11-02,11268.900390625,11489.5498046875,11255.2001953125,11489.150390625,7852000,-0.022657987203048013
2016-11-03,11124.2998046875,11329.25,11087.75,11263.0498046875,9570000,-0.012831827500915605
2016-11-04,10606.0,10923.5,10540.75,10923.5,31460000,-0.04659167891799365
2016-11-07,10818.75,10951.9501953125,10784.25,10923.0,17026000,0.020059400339430544
2016-11-08,10665.7998046875,10889.900390625,10638.75,10874.349609375,15578000,-0.014137510831889077
2016-11-09,10871.099609375,10922.900390625,9777.25,10106.75,29975000,0.019248420976106573
2016-11-10,10990.5498046875,11171.7998046875,10964.150390625,11080.75,21380000,0.010987866876823515
2016-11-11,10901.25,11172.150390625,10862.849609375,11046.349609375,19545000,-0.008125144444494747
