date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/02/01 00:00:00+00,2019,2,1,chokepoint6,Strait of Hormuz,9,13,5,1,48,28,76,401381.757547274,382559.450987347,28763.0309869668,4061.64480530113,1982283.80179574,816765.884326888,2799049.68612263,47407
2019/05/10 00:00:00+00,2019,5,10,chokepoint6,Strait of Hormuz,15,15,3,0,57,33,90,706053.189201994,245053.621910593,1543.17214125716,0,2192247.81182129,952649.983253844,3144897.79507514,47409
2019/07/02 00:00:00+00,2019,7,2,chokepoint6,Strait of Hormuz,10,8,9,2,46,29,75,308512.139454369,288026.914956879,11058.8383896188,292.088981494347,1929373.88215419,607889.981782361,2537263.86393656,47411
2019/08/17 00:00:00+00,2019,8,17,chokepoint6,Strait of Hormuz,14,16,8,1,63,39,102,415789.490038228,451150.481288731,55973.0779572716,0,3427438.87118596,922913.04928423,4350351.92047019,47412
2019/02/02 00:00:00+00,2019,2,2,chokepoint6,Strait of Hormuz,12,4,3,1,46,20,66,441488.043375754,472418.702909844,15330.5166468053,2013.8300126082,2988301.63572217,931251.092945011,3919552.72866718,47413
2019/05/11 00:00:00+00,2019,5,11,chokepoint6,Strait of Hormuz,16,21,1,2,65,40,105,580115.671038547,696481.957240433,0,3944.0727121008,2686422.88783512,1280541.70099108,3966964.5888262,47415
2019/05/12 00:00:00+00,2019,5,12,chokepoint6,Strait of Hormuz,13,13,5,2,65,33,98,436602.74207707,373838.067433426,13796.9376059243,2193.58293120409,2975880.54515944,826431.330047625,3802311.87520706,47416
2019/05/13 00:00:00+00,2019,5,13,chokepoint6,Strait of Hormuz,17,14,3,3,51,37,88,515906.910370326,195174.28723917,9334.70885242779,11668.7117059645,2287377.33907186,732084.618167888,3019461.95723974,47417
2019/05/14 00:00:00+00,2019,5,14,chokepoint6,Strait of Hormuz,16,14,4,2,46,36,82,517313.580233732,505493.380802573,11252.7654732083,4636.04722731469,3083109.88775272,1038695.77373683,4121805.66148955,47418
2019/05/15 00:00:00+00,2019,5,15,chokepoint6,Strait of Hormuz,9,20,5,1,62,35,97,348404.471363592,528408.575194723,33917.6177789739,0,3746658.3880151,910730.664337289,4657389.05235238,47419
2019/05/16 00:00:00+00,2019,5,16,chokepoint6,Strait of Hormuz,13,18,2,1,58,34,92,347496.124248054,723243.794487091,4835.67742397891,3209.20337263119,2851701.34743791,1078784.79953175,3930486.14696967,47420
2019/05/17 00:00:00+00,2019,5,17,chokepoint6,Strait of Hormuz,17,23,4,3,52,47,99,514998.662678677,726727.399324578,10567.3297399927,3362.17695820657,2742913.61663813,1255655.56870145,3998569.18533958,47421
