date,open,high,low,close,volume
2021-09-08,14802.85,14824.9,14717.1,14814.0,0
2021-09-09,14780.6,14844.1,14774.75,14827.3,0
2021-09-13,14839.8,14865.15,14769.35,14848.1,0
2021-09-14,14917.05,14935.3,14881.75,14904.0,0
2021-09-15,14927.95,15028.35,14921.65,15018.45,0
2021-09-16,15050.85,15115.3,15013.0,15101.6,0
2021-09-17,15169.9,15207.65,14979.4,15036.45,0
2021-09-20,14907.5,15047.5,14801.95,14808.7,0
2021-09-21,14856.85,14958.95,14734.9,14951.05,0
2021-09-22,14977.3,15030.7,14950.65,14990.5,0
2021-09-23,15097.1,15218.9,15086.75,15206.9,0
2021-09-24,15274.1,15304.75,15160.9,15185.7,0
2021-09-27,15261.35,15261.85,15139.65,15187.05,0
2021-09-28,15235.1,15237.9,14967.25,15085.1,0
2021-09-29,15023.3,15140.65,14985.85,15083.7,0
2021-09-30,15109.7,15137.3,15027.1,15047.15,0
2021-10-01,14994.8,15031.5,14933.1,15009.5,0
2021-10-04,15094.4,15194.75,15078.4,15187.2,0
2021-10-05,15171.25,15287.6,15151.95,15283.45,0
2021-10-06,15328.95,15348.9,15109.95,15118.7,0
2021-10-07,15274.65,15335.6,15252.2,15295.85,0
2021-10-08,15375.3,15402.35,15317.55,15375.4,0
2021-10-11,15374.5,15497.45,15358.75,15434.25,0
2021-10-12,15426.6,15492.25,15371.85,15491.8,0
2021-10-13,15573.6,15660.05,15547.75,15635.65,0
2021-10-14,15733.3,15780.6,15710.55,15768.4,0
2021-10-18,15924.1,15948.7,15871.7,15885.9,0
2021-10-19,16003.95,16003.95,15717.45,15755.65,0
2021-10-20,15768.0,15775.3,15497.1,15588.15,0
2021-10-21,15666.6,15666.6,15373.65,15518.5,0
2021-10-22,15537.05,15599.8,15329.3,15395.8,0
2021-10-25,15492.0,15495.4,15182.4,15339.7,0
2021-10-26,15360.35,15528.65,15360.35,15528.65,0
2021-10-27,15541.75,15582.95,15454.3,15463.0,0
2021-10-28,15475.4,15475.4,15148.25,15196.6,0
2021-10-29,15163.5,15266.1,14963.05,15116.85,0
2021-11-01,15179.4,15317.95,15112.5,15315.9,0
2021-11-02,15344.35,15373.15,15279.9,15315.05,0
2021-11-03,15367.7,15397.05,15212.35,15287.2,0
